,InterZone,All people,Area (hectares),simd1_pop,simd2_pop,simd3_pop,simd4_pop,simd5_pop,simdMostPop,simd1_percent,simd2_percent,simd3_percent,simd4_percent,simd5_percent
197,S02001433,3009,195,0,0,582,1819,608,4,0.0,0.0,0.193419740777667,0.6045197740112994,0.20206048521103356
198,S02001434,2776,6182,0,0,699,1530,547,4,0.0,0.0,0.25180115273775217,0.5511527377521613,0.19704610951008644
199,S02001435,3143,6029,0,0,1535,1608,0,4,0.0,0.0,0.4883868915049316,0.5116131084950684,0.0
200,S02001436,5011,10590,0,1087,3207,717,0,3,0.0,0.21692276990620635,0.639992017561365,0.14308521253242865,0.0
201,S02001437,3962,31408,0,0,2535,1427,0,3,0.0,0.0,0.6398283695103483,0.3601716304896517,0.0
202,S02001438,3914,48283,0,627,0,3287,0,4,0.0,0.16019417475728157,0.0,0.8398058252427184,0.0
203,S02001439,3970,36213,0,1104,1980,886,0,3,0.0,0.27808564231738037,0.4987405541561713,0.22317380352644836,0.0
204,S02001440,2613,14645,0,0,2178,435,0,3,0.0,0.0,0.8335246842709529,0.16647531572904709,0.0
205,S02001441,3262,123,851,1568,0,843,0,2,0.2608828939301042,0.48068669527896996,0.0,0.2584304107909258,0.0
206,S02001442,5658,3673,642,2393,1396,510,717,2,0.11346765641569459,0.4229409685401202,0.24673029338989041,0.09013785790031813,0.12672322375397668
207,S02001443,2998,1556,0,797,0,1327,874,4,0.0,0.2658438959306204,0.0,0.442628418945964,0.2915276851234156
208,S02001444,4160,4150,0,843,1193,686,1438,5,0.0,0.20264423076923077,0.28677884615384613,0.16490384615384615,0.3456730769230769
209,S02001445,5863,344,0,0,0,1015,4848,5,0.0,0.0,0.0,0.1731195633634658,0.8268804366365342
210,S02001446,7417,133,0,1115,974,5328,0,4,0.0,0.15033032223270865,0.1313199406768235,0.7183497370904679,0.0
211,S02001447,5602,78,808,1893,2901,0,0,3,0.14423420207068904,0.3379150303463049,0.5178507675830061,0.0,0.0
212,S02001448,4781,102,1442,749,783,781,1026,1,0.30161054172767204,0.15666178623718888,0.1637732691905459,0.16335494666387784,0.21459945618071533
213,S02001449,5126,115,1710,1867,1549,0,0,2,0.333593445181428,0.3642216152945767,0.30218493952399533,0.0,0.0
214,S02001450,4852,68,4209,643,0,0,0,1,0.8674773289365211,0.13252267106347898,0.0,0.0,0.0
215,S02001451,4648,78,3213,1435,0,0,0,1,0.6912650602409639,0.30873493975903615,0.0,0.0,0.0
216,S02001452,5524,54,3354,2170,0,0,0,1,0.6071687183200579,0.3928312816799421,0.0,0.0,0.0
