DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006674,S02001265,S13002481,S12000033,S16000074,S03000012,S08000020
S01006675,S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S01006676,S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S01006677,S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S01006678,S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S01006679,S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S01006680,S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S01006681,S02001267,S13002480,S12000033,S16000075,S03000012,S08000020
S01006682,S02001267,S13002480,S12000033,S16000075,S03000012,S08000020
S01006683,S02001267,S13002480,S12000033,S16000075,S03000012,S08000020
S01006684,S02001267,S13002480,S12000033,S16000075,S03000012,S08000020
S01006685,S02001267,S13002480,S12000033,S16000075,S03000012,S08000020
S01006686,S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S01006687,S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S01006688,S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S01006689,S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S01006690,S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S01006691,S02001268,S13002480,S12000033,S16000074,S03000012,S08000020
S01006692,S02001268,S13002480,S12000033,S16000074,S03000012,S08000020
S01006693,S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S01006694,S02001269,S13002480,S12000033,S16000074,S03000012,S08000020
S01006695,S02001269,S13002480,S12000033,S16000075,S03000012,S08000020
S01006696,S02001269,S13002480,S12000033,S16000075,S03000012,S08000020
S01006697,S02001269,S13002480,S12000033,S16000074,S03000012,S08000020
S01006698,S02001269,S13002480,S12000033,S16000074,S03000012,S08000020
S01006699,S02001269,S13002480,S12000033,S16000074,S03000012,S08000020
S01006700,S02001269,S13002480,S12000033,S16000074,S03000012,S08000020
S01006701,S02001270,S13002478,S12000033,S16000075,S03000012,S08000020
S01006702,S02001270,S13002479,S12000033,S16000075,S03000012,S08000020
S01006703,S02001270,S13002478,S12000033,S16000075,S03000012,S08000020
S01006704,S02001270,S13002479,S12000033,S16000075,S03000012,S08000020
S01006705,S02001270,S13002479,S12000033,S16000075,S03000012,S08000020
S01006706,S02001270,S13002478,S12000033,S16000075,S03000012,S08000020
S01006707,S02001270,S13002478,S12000033,S16000075,S03000012,S08000020
S01006708,S02001271,S13002478,S12000033,S16000075,S03000012,S08000020
S01006709,S02001271,S13002478,S12000033,S16000075,S03000012,S08000020
S01006710,S02001271,S13002478,S12000033,S16000075,S03000012,S08000020
S01006711,S02001271,S13002478,S12000033,S16000075,S03000012,S08000020
S01006712,S02001271,S13002478,S12000033,S16000075,S03000012,S08000020
S01006713,S02001271,S13002479,S12000033,S16000075,S03000012,S08000020
S01006714,S02001272,S13002479,S12000033,S16000075,S03000012,S08000020
S01006715,S02001272,S13002479,S12000033,S16000075,S03000012,S08000020
S01006716,S02001272,S13002479,S12000033,S16000075,S03000012,S08000020
S01006717,S02001272,S13002479,S12000033,S16000075,S03000012,S08000020
S01006718,S02001272,S13002479,S12000033,S16000075,S03000012,S08000020
S01006719,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006720,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006721,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006722,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006723,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006724,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006725,S02001273,S13002479,S12000033,S16000075,S03000012,S08000020
S01006726,S02001274,S13002479,S12000033,S16000075,S03000012,S08000020
S01006727,S02001274,S13002479,S12000033,S16000075,S03000012,S08000020
S01006728,S02001274,S13002479,S12000033,S16000075,S03000012,S08000020
S01006729,S02001274,S13002479,S12000033,S16000075,S03000012,S08000020
S01006730,S02001274,S13002479,S12000033,S16000075,S03000012,S08000020
S01006731,S02001274,S13002479,S12000033,S16000075,S03000012,S08000020
S01006732,S02001275,S13002478,S12000033,S16000075,S03000012,S08000020
S01006733,S02001275,S13002478,S12000033,S16000075,S03000012,S08000020
S01006734,S02001275,S13002478,S12000033,S16000075,S03000012,S08000020
S01006735,S02001275,S13002478,S12000033,S16000075,S03000012,S08000020
S01006736,S02001275,S13002478,S12000033,S16000075,S03000012,S08000020
S01006737,S02001275,S13002478,S12000033,S16000075,S03000012,S08000020
