,InterZone,All people,Area (hectares),Density
548,S02001784,3244,102,31.80392157
549,S02001785,3064,69,44.4057971
550,S02001786,2930,69,42.46376812
551,S02001787,2665,1057,2.52128666
552,S02001788,3199,93,34.39784946
553,S02001789,3007,61,49.29508197
554,S02001790,5027,91,55.24175824
555,S02001791,3349,82,40.84146341
556,S02001792,4863,355,13.69859155
557,S02001793,3721,160,23.25625
558,S02001794,2963,134,22.1119403
559,S02001795,3854,243,15.8600823
560,S02001796,3564,146,24.4109589
561,S02001797,2891,2154,1.342154132
562,S02001798,3994,2651,1.506601283
563,S02001799,4184,2060,2.031067961
564,S02001800,4256,113,37.66371681
565,S02001801,2217,75,29.56
566,S02001802,4651,110,42.28181818
567,S02001803,3489,178,19.6011236
568,S02001804,3536,526,6.72243346
569,S02001805,5055,222,22.77027027
570,S02001806,2731,77,35.46753247
571,S02001807,3706,274,13.52554745
572,S02001808,2322,52,44.65384615
573,S02001809,2198,44,49.95454545
574,S02001810,2952,123,24
575,S02001811,4034,1734,2.326412918
576,S02001812,3419,1693,2.019492026
577,S02001813,4979,200,24.895
578,S02001814,4705,121,38.88429752
579,S02001815,2523,85,29.68235294
580,S02001816,3263,170,19.19411765
581,S02001817,3083,98,31.45918367
582,S02001818,3239,235,13.78297872
583,S02001819,2682,87,30.82758621
584,S02001820,2818,3768,0.747876858
585,S02001821,5472,4567,1.198160718
586,S02001822,4187,6710,0.623994039
587,S02001823,2494,3181,0.784030179
588,S02001824,4207,7603,0.55333421
589,S02001825,2899,5522,0.524990945
590,S02001826,3899,3437,1.134419552
591,S02001827,3355,82,40.91463415
592,S02001828,4015,189,21.24338624
593,S02001829,2850,8964,0.31793842
594,S02001830,2196,6307,0.348184557
595,S02001831,2843,858,3.313519814
596,S02001832,3831,1881,2.036682616
597,S02001833,2450,6060,0.404290429
598,S02001834,4008,94,42.63829787
599,S02001835,5188,103,50.36893204
600,S02001836,4169,1910,2.182722513
601,S02001837,5279,3340,1.580538922
602,S02001838,3453,1968,1.754573171
603,S02001839,3774,12122,0.311334763
604,S02001840,3815,132,28.90151515
605,S02001841,4243,143,29.67132867
606,S02001842,5033,101,49.83168317
607,S02001843,2813,358,7.857541899
608,S02001844,4741,124,38.23387097
609,S02001845,5836,197,29.62436548
610,S02001846,3387,84,40.32142857
611,S02001847,3022,74,40.83783784
612,S02001848,5467,216,25.31018519
613,S02001849,6145,198,31.03535354
614,S02001850,3512,68,51.64705882
615,S02001851,4271,57,74.92982456
616,S02001852,5315,120,44.29166667
617,S02001853,5309,89,59.65168539
618,S02001854,3519,56,62.83928571
619,S02001855,6268,328,19.1097561
620,S02001856,4899,162,30.24074074
621,S02001857,3303,100,33.03
622,S02001858,5240,213,24.60093897
623,S02001859,3061,92,33.27173913
624,S02001860,2948,81,36.39506173
625,S02001861,3742,57,65.64912281
626,S02001862,3669,149,24.62416107
627,S02001863,4744,103,46.05825243
628,S02001864,4968,54,92
629,S02001865,5429,31,175.1290323
630,S02001866,4081,54,75.57407407
631,S02001867,4990,114,43.77192982
632,S02001868,5617,57,98.54385965
633,S02001869,5929,361,16.42382271
634,S02001870,3573,32,111.65625
635,S02001871,3293,19,173.3157895
636,S02001872,4086,46,88.82608696
637,S02001873,4487,384,11.68489583
638,S02001874,4634,70,66.2
639,S02001875,3144,68,46.23529412
640,S02001876,5387,120,44.89166667
641,S02001877,3435,82,41.8902439
642,S02001878,4951,86,57.56976744
643,S02001879,2903,71,40.88732394
644,S02001880,3744,583,6.421955403
645,S02001881,5159,97,53.18556701
646,S02001882,4319,116,37.23275862
647,S02001883,4905,75,65.4
648,S02001884,4157,101,41.15841584
649,S02001885,4368,67,65.19402985
650,S02001886,4798,80,59.975
651,S02001887,4172,57,73.19298246
652,S02001888,5646,198,28.51515152
653,S02001889,5824,83,70.1686747
654,S02001890,5001,218,22.94036697
655,S02001891,3987,104,38.33653846
656,S02001892,3552,38,93.47368421
657,S02001893,2529,119,21.25210084
658,S02001894,5709,220,25.95
659,S02001895,3166,88,35.97727273
660,S02001896,5637,203,27.76847291
661,S02001897,3887,244,15.93032787
662,S02001898,2701,135,20.00740741
663,S02001899,3766,128,29.421875
664,S02001900,3842,76,50.55263158
665,S02001901,5313,609,8.724137931
666,S02001902,4296,107,40.14953271
667,S02001903,4298,136,31.60294118
668,S02001904,3183,409,7.782396088
669,S02001905,2740,87,31.49425287
670,S02001906,3633,583,6.231560892
671,S02001907,3405,93,36.61290323
672,S02001908,4904,229,21.41484716
673,S02001909,5228,129,40.52713178
674,S02001910,4492,79,56.86075949
675,S02001911,3554,42,84.61904762
676,S02001912,3573,114,31.34210526
677,S02001913,3419,73,46.83561644
678,S02001914,6265,134,46.75373134
679,S02001915,5100,137,37.22627737
680,S02001916,5861,221,26.52036199
681,S02001917,4421,129,34.27131783
682,S02001918,6125,427,14.3442623
683,S02001919,3585,117,30.64102564
684,S02001920,2637,71,37.14084507
685,S02001921,4307,71,60.66197183
686,S02001922,4716,167,28.23952096
687,S02001923,4273,81,52.75308642
688,S02001924,3609,212,17.02358491
689,S02001925,2320,100,23.2
690,S02001926,5773,171,33.76023392
691,S02001927,4030,55,73.27272727
692,S02001928,2500,72,34.72222222
693,S02001929,5068,103,49.2038835
694,S02001930,4195,28,149.8214286
695,S02001931,4926,62,79.4516129
696,S02001932,9139,166,55.05421687
697,S02001933,4453,74,60.17567568
698,S02001934,2832,116,24.4137931
699,S02001935,4420,60,73.66666667
700,S02001936,6985,123,56.78861789
701,S02001937,6449,54,119.4259259
702,S02001938,3416,70,48.8
703,S02001939,5667,58,97.70689655
704,S02001940,4616,92,50.17391304
705,S02001941,6987,116,60.23275862
706,S02001942,5812,186,31.24731183
707,S02001943,4190,132,31.74242424
708,S02001944,3554,64,55.53125
709,S02001945,4093,766,5.343342037
710,S02001946,4031,158,25.51265823
711,S02001947,3295,76,43.35526316
712,S02001948,2742,54,50.77777778
713,S02001949,3619,48,75.39583333
714,S02001950,6079,115,52.86086957
715,S02001951,3795,49,77.44897959
716,S02001952,5946,67,88.74626866
717,S02001953,5715,97,58.91752577
718,S02001954,4602,50,92.04
719,S02001955,3845,35,109.8571429
720,S02001956,5517,54,102.1666667
721,S02001957,4338,46,94.30434783
722,S02001958,5577,182,30.64285714
723,S02001959,4348,62,70.12903226
724,S02001960,2694,71,37.94366197
725,S02001961,3405,52,65.48076923
726,S02001962,4321,66,65.46969697
727,S02001963,3718,99,37.55555556
728,S02001964,4571,98,46.64285714
729,S02001965,3030,51,59.41176471
730,S02001966,2666,45,59.24444444
731,S02001967,3977,62,64.14516129
732,S02001968,3459,94,36.79787234
733,S02001969,3692,55,67.12727273
734,S02001970,4217,150,28.11333333
735,S02001971,5995,130,46.11538462
736,S02001972,5683,98,57.98979592
737,S02001973,2926,90,32.51111111
738,S02001974,2623,83,31.60240964
739,S02001975,3686,89,41.41573034
740,S02001976,3287,128,25.6796875
741,S02001977,3464,89,38.92134831
742,S02001978,4667,229718,0.020316214
743,S02001979,4576,539,8.489795918
744,S02001980,5861,9044,0.648053958
745,S02001981,4883,227215,0.021490659
746,S02001982,3842,133438,0.028792398
747,S02001983,5050,38882,0.12988015
748,S02001984,4696,51474,0.091230524
749,S02001985,4251,42214,0.100701189
750,S02001986,4184,163,25.66871166
751,S02001987,4582,244,18.77868852
752,S02001988,5080,72761,0.069817622
753,S02001989,4192,306,13.69934641
754,S02001990,3248,108,30.07407407
755,S02001991,5884,726,8.104683196
756,S02001992,4327,719,6.018080668
757,S02001993,2519,6274,0.401498247
758,S02001994,4942,522,9.46743295
759,S02001995,3595,130,27.65384615
760,S02001996,3770,77,48.96103896
761,S02001997,2516,71,35.43661972
762,S02001998,4378,567,7.721340388
763,S02001999,4524,164,27.58536585
764,S02002000,4663,193,24.16062176
765,S02002001,4146,108,38.38888889
766,S02002002,3406,90,37.84444444
